,region,times,icu_o
0,calabarzon,183.0,0.0
1,calabarzon,184.0,13.0
2,calabarzon,185.0,36.0
3,calabarzon,186.0,43.0
4,calabarzon,187.0,42.0
5,calabarzon,188.0,42.0
6,calabarzon,189.0,49.0
7,calabarzon,190.0,46.0
8,calabarzon,191.0,48.0
9,calabarzon,192.0,52.0
10,calabarzon,193.0,63.0
11,calabarzon,194.0,87.0
12,calabarzon,195.0,57.0
13,calabarzon,196.0,66.0
14,calabarzon,197.0,72.0
15,calabarzon,198.0,67.0
16,calabarzon,199.0,86.0
17,calabarzon,200.0,85.0
18,calabarzon,201.0,88.0
19,calabarzon,202.0,95.0
20,calabarzon,203.0,85.0
21,calabarzon,204.0,88.0
22,calabarzon,205.0,91.0
23,calabarzon,206.0,89.0
24,calabarzon,207.0,88.0
25,calabarzon,208.0,116.0
26,calabarzon,209.0,104.0
27,calabarzon,210.0,103.0
28,calabarzon,211.0,108.0
29,calabarzon,212.0,121.0
30,calabarzon,213.0,109.0
31,calabarzon,214.0,113.0
32,calabarzon,215.0,113.0
33,calabarzon,216.0,112.0
34,calabarzon,217.0,113.0
35,calabarzon,218.0,118.0
36,calabarzon,219.0,117.0
37,calabarzon,220.0,119.0
38,calabarzon,221.0,114.0
39,calabarzon,222.0,117.0
40,calabarzon,223.0,106.0
41,calabarzon,224.0,108.0
42,calabarzon,225.0,90.0
43,calabarzon,226.0,89.0
44,calabarzon,227.0,94.0
45,calabarzon,228.0,93.0
46,calabarzon,229.0,112.0
47,calabarzon,230.0,103.0
48,calabarzon,231.0,96.0
49,calabarzon,232.0,103.0
50,calabarzon,233.0,109.0
51,calabarzon,234.0,88.0
52,calabarzon,235.0,102.0
53,calabarzon,236.0,103.0
54,calabarzon,237.0,108.0
55,calabarzon,238.0,96.0
56,calabarzon,239.0,102.0
57,calabarzon,240.0,97.0
58,calabarzon,241.0,98.0
59,calabarzon,242.0,95.0
60,calabarzon,243.0,105.0
61,calabarzon,244.0,92.0
62,calabarzon,245.0,96.0
63,calabarzon,246.0,97.0
64,calabarzon,247.0,95.0
65,calabarzon,248.0,104.0
66,calabarzon,249.0,106.0
67,calabarzon,250.0,103.0
68,calabarzon,251.0,101.0
69,calabarzon,252.0,99.0
70,calabarzon,253.0,100.0
71,calabarzon,254.0,114.0
72,calabarzon,255.0,113.0
73,calabarzon,256.0,111.0
74,calabarzon,257.0,115.0
75,calabarzon,258.0,108.0
76,calabarzon,259.0,116.0
77,calabarzon,260.0,109.0
78,calabarzon,261.0,108.0
79,calabarzon,262.0,110.0
80,calabarzon,263.0,104.0
81,calabarzon,264.0,105.0
82,calabarzon,265.0,92.0
83,calabarzon,266.0,103.0
84,calabarzon,267.0,99.0
85,calabarzon,268.0,97.0
86,calabarzon,269.0,101.0
87,calabarzon,270.0,108.0
88,calabarzon,271.0,102.0
89,calabarzon,272.0,104.0
90,calabarzon,273.0,96.0
91,calabarzon,274.0,101.0
92,calabarzon,275.0,101.0
93,calabarzon,276.0,107.0
94,calabarzon,277.0,103.0
95,calabarzon,278.0,93.0
96,calabarzon,279.0,104.0
97,calabarzon,280.0,106.0
98,calabarzon,281.0,89.0
99,calabarzon,282.0,96.0
100,calabarzon,283.0,112.0
101,calabarzon,284.0,112.0
102,calabarzon,285.0,120.0
103,calabarzon,286.0,107.0
104,calabarzon,287.0,111.0
105,calabarzon,288.0,95.0
106,calabarzon,289.0,123.0
107,calabarzon,290.0,91.0
108,calabarzon,291.0,82.0
109,calabarzon,292.0,84.0
110,calabarzon,293.0,86.0
111,calabarzon,294.0,87.0
112,calabarzon,295.0,80.0
113,calabarzon,296.0,71.0
114,calabarzon,297.0,75.0
115,calabarzon,298.0,82.0
116,calabarzon,299.0,69.0
117,calabarzon,300.0,96.0
118,calabarzon,301.0,105.0
119,calabarzon,302.0,80.0
120,calabarzon,303.0,80.0
121,calabarzon,304.0,73.0
122,calabarzon,305.0,91.0
123,calabarzon,306.0,80.0
124,calabarzon,307.0,90.0
125,calabarzon,308.0,96.0
126,calabarzon,309.0,83.0
127,calabarzon,310.0,85.0
128,calabarzon,311.0,78.0
129,calabarzon,312.0,73.0
130,calabarzon,313.0,64.0
131,calabarzon,314.0,77.0
132,calabarzon,315.0,78.0
133,calabarzon,316.0,89.0
134,calabarzon,317.0,81.0
135,calabarzon,318.0,112.0
136,calabarzon,319.0,78.0
137,central_visayas,184.0,55.0
138,central_visayas,185.0,75.0
139,central_visayas,186.0,82.0
140,central_visayas,187.0,107.0
141,central_visayas,188.0,96.0
142,central_visayas,189.0,90.0
143,central_visayas,190.0,79.0
144,central_visayas,191.0,80.0
145,central_visayas,192.0,73.0
146,central_visayas,193.0,81.0
147,central_visayas,194.0,76.0
148,central_visayas,195.0,73.0
149,central_visayas,196.0,70.0
150,central_visayas,197.0,69.0
151,central_visayas,198.0,72.0
152,central_visayas,199.0,77.0
153,central_visayas,200.0,77.0
154,central_visayas,201.0,67.0
155,central_visayas,202.0,77.0
156,central_visayas,203.0,84.0
157,central_visayas,204.0,80.0
158,central_visayas,205.0,81.0
159,central_visayas,206.0,77.0
160,central_visayas,207.0,78.0
161,central_visayas,208.0,81.0
162,central_visayas,209.0,79.0
163,central_visayas,210.0,75.0
164,central_visayas,211.0,71.0
165,central_visayas,212.0,69.0
166,central_visayas,213.0,71.0
167,central_visayas,214.0,66.0
168,central_visayas,215.0,57.0
169,central_visayas,216.0,58.0
170,central_visayas,217.0,58.0
171,central_visayas,218.0,54.0
172,central_visayas,219.0,56.0
173,central_visayas,220.0,61.0
174,central_visayas,221.0,49.0
175,central_visayas,222.0,57.0
176,central_visayas,223.0,58.0
177,central_visayas,224.0,59.0
178,central_visayas,225.0,63.0
179,central_visayas,226.0,59.0
180,central_visayas,227.0,58.0
181,central_visayas,228.0,57.0
182,central_visayas,229.0,56.0
183,central_visayas,230.0,57.0
184,central_visayas,231.0,58.0
185,central_visayas,232.0,45.0
186,central_visayas,233.0,50.0
