data	time	belgium_hospital_occupancy	belgium_hospital_admission	belgium_icu_occupancy	france_hospital_occupancy
1-Jan-20	1				
2-Jan-20	2				
3-Jan-20	3				
4-Jan-20	4				
5-Jan-20	5				
6-Jan-20	6				
7-Jan-20	7				
8-Jan-20	8				
9-Jan-20	9				
10-Jan-20	10				
11-Jan-20	11				
12-Jan-20	12				
13-Jan-20	13				
14-Jan-20	14				
15-Jan-20	15				
16-Jan-20	16				
17-Jan-20	17				
18-Jan-20	18				
19-Jan-20	19				
20-Jan-20	20				
21-Jan-20	21				
22-Jan-20	22				
23-Jan-20	23				
24-Jan-20	24				
25-Jan-20	25				
26-Jan-20	26				
27-Jan-20	27				
28-Jan-20	28				
29-Jan-20	29				
30-Jan-20	30				
31-Jan-20	31				
1-Feb-20	32				
2-Feb-20	33				
3-Feb-20	34				
4-Feb-20	35				
5-Feb-20	36				
6-Feb-20	37				
7-Feb-20	38				
8-Feb-20	39				
9-Feb-20	40				
10-Feb-20	41				
11-Feb-20	42				
12-Feb-20	43				
13-Feb-20	44				
14-Feb-20	45				
15-Feb-20	46				
16-Feb-20	47				
17-Feb-20	48				
18-Feb-20	49				
19-Feb-20	50				
20-Feb-20	51				
21-Feb-20	52				
22-Feb-20	53				
23-Feb-20	54				
24-Feb-20	55				
25-Feb-20	56				
26-Feb-20	57				
27-Feb-20	58				
28-Feb-20	59				
29-Feb-20	60				
1-Mar-20	61				
2-Mar-20	62				
3-Mar-20	63				
4-Mar-20	64				
5-Mar-20	65				
6-Mar-20	66				
7-Mar-20	67				
8-Mar-20	68				
9-Mar-20	69				
10-Mar-20	70				
11-Mar-20	71				
12-Mar-20	72				
13-Mar-20	73				
14-Mar-20	74				
15-Mar-20	75	266	71	54	
16-Mar-20	76	370	90	79	
17-Mar-20	77	497	122	100	
18-Mar-20	78	650	179	131	2972
19-Mar-20	79	844	207	165	4073
20-Mar-20	80	1101	288	228	5226
21-Mar-20	81	1384	320	290	5900
22-Mar-20	82	1646	273	322	6954
23-Mar-20	83	1883	257	385	8673
24-Mar-20	84	2140	412	474	10176
25-Mar-20	85	2721	535	612	12072
26-Mar-20	86	3077	490	690	13879
27-Mar-20	87	3650	575	789	15701
28-Mar-20	88	4089	629	867	17580
29-Mar-20	89	4480	545	942	19311
30-Mar-20	90	4897	478	1021	20946
31-Mar-20	91	4989	553	1088	22672
1-Apr-20	92	5220	584	1144	24543
2-Apr-20	93	5383	568	1205	26131
3-Apr-20	94	5513	504	1245	27302
4-Apr-20	95	5531	499	1261	28003
5-Apr-20	96	5620	358	1267	28747
6-Apr-20	97	5759	314	1260	29569
7-Apr-20	98	5715	490	1276	29871
8-Apr-20	99	5616	459	1285	30217
9-Apr-20	100	5636	462	1278	30608
10-Apr-20	101	5663	421	1262	31108
11-Apr-20	102	5437	393	1232	31159
12-Apr-20	103	5441	270	1234	31665
13-Apr-20	104	5554	242	1226	31952
14-Apr-20	105	5532	250	1204	32131
15-Apr-20	106	5331	310	1182	31623
16-Apr-20	107	5181	320	1150	31172
17-Apr-20	108	5088	303	1119	31061
18-Apr-20	109	4892	265	1081	30515
19-Apr-20	110	4940	232	1071	30486
20-Apr-20	111	4996	172	1079	30462
21-Apr-20	112	4765	263	1020	29984
22-Apr-20	113	4527	211	993	29627
23-Apr-20	114	4355	210	970	29113
24-Apr-20	115	4195	217	934	28554
25-Apr-20	116	3957	202	901	28119
26-Apr-20	117	3968	127	903	28114
27-Apr-20	118	3976	123	876	27954
28-Apr-20	119	3733	174	797	27607
29-Apr-20	120	3609	178	769	26736
30-Apr-20	121	3386	152	749	26192
1-May-20	122	3109	128	690	25809
2-May-20	123	3080	77	684	25751
3-May-20	124	3044	59	655	25739
4-May-20	125	3082	84	646	25472
5-May-20	126	2868	116	582	24701
6-May-20	127	2699	98	542	23912
7-May-20	128	2555	108	508	23139
8-May-20	129	2381	75	502	22657
9-May-20	130	2222	83	475	22547
10-May-20	131	2222	60	477	22502
11-May-20	132	2230	43	465	22219
12-May-20	133	2085	70	427	21530
13-May-20	134	1966	81	407	21009
14-May-20	135	1862	67	380	20401
15-May-20	136	1750	65	364	19801
16-May-20	137	1625	60	345	19372
17-May-20	138	1614	43	342	19302
18-May-20	139	1630	50	345	18956
19-May-20	140	1527	58	313	18409
20-May-20	141	1448	71	277	17882
21-May-20	142	1388	56	268	17527
22-May-20	143	1360	34	259	17327
23-May-20	144	1296	48	256	17122
24-May-20	145	1306	27	251	17129
25-May-20	146	1304	39	249	16742
26-May-20	147	1150	36	223	16209
27-May-20	148	1050	49	209	15627
28-May-20	149	939	27	187	15155
29-May-20	150	892	29	173	14643
30-May-20	151	823	40	168	14329
31-May-20	152	818	25	164	14271
1-Jun-20	153	821	26	166	14237
2-Jun-20	154	821	31	172	13978
3-Jun-20	155	739	21	145	13465
4-Jun-20	156	702	32	137	13054
5-Jun-20	157	647	26	121	12650
6-Jun-20	158	573	21	111	12433
7-Jun-20	159	576	23	116	12415
8-Jun-20	160	575	16	115	12269
9-Jun-20	161	527	24	102	11915
10-Jun-20	162	484	19	99	11632
11-Jun-20	163	479	32	89	11420
12-Jun-20	164	425	23	88	11079
13-Jun-20	165	395	12	82	10864
14-Jun-20	166	400	17	85	10836
15-Jun-20	167	395	11	76	10707
16-Jun-20	168	371	24	67	10490
17-Jun-20	169	344	19	60	10222
18-Jun-20	170	340	20	52	10080
19-Jun-20	171	308	20	50	9925
20-Jun-20	172	292	18	53	9792
21-Jun-20	173	295	10	50	9778
22-Jun-20	174	293	12	42	9648
23-Jun-20	175	281	12	41	9446
24-Jun-20	176	268	16	40	9254
25-Jun-20	177	256	19	38	9096
26-Jun-20	178	247	18	36	8841
27-Jun-20	179	237	16	34	8715
28-Jun-20	180	237	5	36	8727
29-Jun-20	181	244	13	41	8643
30-Jun-20	182	222	17	37	8491
1-Jul-20	183	203	9	36	8291
2-Jul-20	184	187	13	35	8103
3-Jul-20	185	168	5	32	7946
4-Jul-20	186	170	16	29	7863
5-Jul-20	187	170	6	30	7863
6-Jul-20	188	169	9	27	7806
7-Jul-20	189	178	15	32	7550
8-Jul-20	190	165	9	32	7254
9-Jul-20	191	160	10	36	7134
10-Jul-20	192	143	6	32	7020
11-Jul-20	193	132	9	28	6995
12-Jul-20	194	130	7	27	6991
13-Jul-20	195	138	9	23	6941
14-Jul-20	196	147	18	27	6907
15-Jul-20	197	150	9	27	6873
16-Jul-20	198	147	12	28	6754
17-Jul-20	199	145	8	28	6646
18-Jul-20	200	161	23	30	6614
19-Jul-20	201	168	15	31	6583
20-Jul-20	202	181	13	36	6547
21-Jul-20	203	172	5	33	6440
22-Jul-20	204	191	19	41	6324
23-Jul-20	205	203	24	40	5915
24-Jul-20	206	218	28	41	5678
25-Jul-20	207	209	21	44	5634
26-Jul-20	208	210	14	47	5640
27-Jul-20	209	221	24	52	5614
28-Jul-20	210				5510
29-Jul-20	211				
